Area,Price,Room,Room_Area,Lon,Lat,Zona
99,375000.0,4,24.75,4.981355,52.320364,1
35,300000.0,2,17.5,4.888159,52.351789,3
136,910000.0,5,27.2,4.888188,52.3492,3
65,385000.0,3,21.666666666666668,4.87989,52.331729,3
93,775000.0,3,31.0,4.875949,52.366908,0
51,349500.0,3,17.0,4.941752,52.339554,1
65,375000.0,3,21.666666666666668,4.852493,52.377329,0
41,325000.0,2,20.5,4.871342,52.383093,0
89,295000.0,4,22.25,4.945355,52.323983,1
50,345000.0,2,25.0,4.849011,52.384683,0
88,325000.0,3,29.33333333333333,4.809676,52.361641,2
73,245000.0,3,24.33333333333333,4.98366,52.294299,1
70,650000.0,3,23.33333333333333,4.892242,52.354197,3
56,450000.0,4,14.0,4.850735,52.370868,0
176,525000.0,5,35.2,4.986145,52.316165,1
81,315000.0,3,27.0,4.80824,52.357393,2
83,500000.0,4,20.75,4.917034,52.395677,4
36,285000.0,2,18.0,4.887419,52.388788,3
116,600000.0,4,29.0,4.895989,52.373751,3
67,425000.0,3,22.33333333333333,4.881551,52.376576,0
53,225000.0,3,17.666666666666668,4.974337,52.324304,1
59,440000.0,3,19.666666666666668,4.85128,52.359788,0
85,450000.0,3,28.33333333333333,4.937516,52.370995,4
75,425000.0,3,25.0,4.8814,52.388529,0
60,230000.0,2,30.0,4.942778,52.320576,1
69,395000.0,3,23.0,4.927419,52.369015,4
93,550000.0,3,31.0,4.948159,52.377174,4
93,350000.0,3,31.0,4.960086,52.318673,1
92,335000.0,4,23.0,4.936689,52.394567,4
92,300000.0,4,23.0,4.922975,52.410584,4
84,270000.0,3,28.0,4.976048,52.29785,1
136,675000.0,5,27.2,4.933513,52.407695,4
73,450000.0,3,24.33333333333333,4.869487,52.378402,0
53,450000.0,2,26.5,4.90355,52.353704,3
101,549000.0,4,25.25,4.907913,52.388684,4
58,265000.0,3,19.33333333333333,4.946436,52.326171,1
42,395000.0,2,21.0,4.880279,52.369659,0
42,275000.0,2,21.0,4.916345,52.383109,4
61,400000.0,2,30.5,4.858697,52.370661,0
55,450000.0,2,27.5,4.925792,52.344742,3
63,395000.0,2,31.5,4.890125,52.371498,3
61,335000.0,2,30.5,4.881952,52.389025,0
82,425000.0,3,27.33333333333333,4.925735,52.364335,4
35,325000.0,2,17.5,4.868498,52.381319,0
76,590000.0,4,19.0,4.851989,52.381995,0
48,345000.0,2,24.0,4.880745,52.388005,0
61,398011.0,3,20.33333333333333,4.892619,52.413849,4
128,900000.0,4,32.0,4.921707,52.366234,3
78,400000.0,3,26.0,4.832758,52.384105,0
100,825000.0,3,33.333333333333336,4.875925,52.347368,0
69,415000.0,3,23.0,4.964407,52.373057,4
91,685000.0,4,22.75,4.904866,52.354123,3
77,610000.0,4,19.25,4.854361,52.368574,0
59,295000.0,3,19.666666666666668,4.946534,52.394352,4
47,339000.0,2,23.5,4.926678,52.36264,4
78,310000.0,3,26.0,4.806801,52.364911,2
49,335000.0,2,24.5,4.934237,52.364224,4
64,275000.0,2,32.0,4.832681,52.372996,0
69,425000.0,4,17.25,4.851176,52.383021,0
54,225000.0,2,27.0,4.975727,52.326205,1
41,300000.0,2,20.5,4.867456,52.375584,0
68,350000.0,3,22.666666666666668,4.829034,52.36373,2
106,475000.0,5,21.2,4.784425,52.345886,2
91,510000.0,3,30.33333333333333,4.909786,52.401616,4
60,225000.0,2,30.0,4.946485,52.319485,1
61,545000.0,2,30.5,4.907725,52.365333,3
66,550000.0,2,33.0,4.895062,52.361956,3
43,225000.0,2,21.5,4.943668,52.317544,1
83,320000.0,3,27.666666666666668,4.988144,52.299293,1
49,360000.0,3,16.333333333333332,4.854243,52.379548,0
113,475000.0,4,28.25,4.916194,52.382138,4
62,425000.0,3,20.666666666666668,4.848229,52.375341,0
81,395000.0,3,27.0,4.878726,52.325783,3
71,265000.0,3,23.666666666666668,4.943523,52.319589,1
53,230000.0,2,26.5,4.944301,52.320816,1
116,750000.0,4,29.0,4.913949,52.392914,4
122,1000000.0,5,24.4,4.860517,52.358293,0
112,825000.0,5,22.4,4.898909,52.353937,3
67,425000.0,2,33.5,4.877222,52.344263,3
56,369000.0,2,28.0,4.934903,52.360041,4
46,300000.0,3,15.333333333333334,4.920288,52.353214,3
59,300000.0,3,19.666666666666668,4.830106,52.363717,2
120,600000.0,4,30.0,4.966154,52.375408,4
65,300000.0,3,21.666666666666668,4.951253,52.394145,4
54,415000.0,2,27.0,4.862373,52.345315,0
77,325000.0,4,19.25,4.95118,52.394073,4
117,775000.0,4,29.25,4.93174,52.391546,4
102,650000.0,4,25.5,4.922217,52.355442,3
108,600000.0,4,27.0,4.967326,52.371556,4
46,325000.0,2,23.0,4.873501,52.377961,0
49,385000.0,3,16.333333333333332,4.938408,52.365552,4
96,875000.0,5,19.2,4.884002,52.367652,3
52,500000.0,2,26.0,4.881809,52.379633,0
120,900000.0,5,24.0,4.948739,52.386865,4
83,350000.0,3,27.666666666666668,4.920989,52.403808,4
118,350000.0,5,23.6,4.978704,52.305543,1
62,450000.0,2,31.0,4.847484,52.350909,0
88,325000.0,4,22.0,4.806863,52.362205,2
27,200000.0,2,13.5,4.818173,52.38178,2
80,575000.0,3,26.666666666666668,4.860112,52.372671,0
81,325000.0,3,27.0,4.81015,52.353861,2
47,400000.0,2,23.5,4.90153,52.355844,3
59,365000.0,2,29.5,4.944414,52.368343,4
88,350000.0,3,29.33333333333333,4.800286,52.380052,2
73,300000.0,4,18.25,4.827023,52.354418,2
90,375000.0,4,22.5,4.992035,52.316742,1
61,415000.0,3,20.33333333333333,4.914021,52.358618,3
65,300000.0,4,16.25,4.831964,52.371338,2
75,625000.0,3,25.0,4.863344,52.370007,0
102,315000.0,5,20.4,4.983162,52.294189,1
44,325000.0,2,22.0,4.873179,52.377933,0
46,370000.0,2,23.0,4.865067,52.369611,0
43,298000.0,2,21.5,4.920012,52.386342,4
56,375000.0,3,18.666666666666668,4.933659,52.364743,4
81,325000.0,3,27.0,4.819431,52.382253,2
42,325000.0,2,21.0,4.940171,52.364934,4
54,375000.0,2,27.0,4.870127,52.372608,0
46,295000.0,2,23.0,4.837695,52.383556,0
44,375000.0,2,22.0,4.884769,52.384121,3
65,295000.0,4,16.25,4.798255,52.378644,2
48,275000.0,2,24.0,5.014044,52.350961,1
47,345000.0,2,23.5,4.899374,52.347656,3
82,500000.0,3,27.33333333333333,4.846047,52.37786,0
58,390000.0,2,29.0,4.853953,52.365813,0
58,400000.0,2,29.0,4.928824,52.363772,4
70,250000.0,3,23.33333333333333,4.9685,52.316374,1
72,625000.0,4,18.0,4.899724,52.355854,3
97,550000.0,3,32.333333333333336,4.996295,52.359277,1
87,585000.0,3,29.0,4.941549,52.377347,4
85,300000.0,3,28.33333333333333,4.945566,52.403049,4
45,300000.0,2,22.5,4.870505,52.372951,0
73,275000.0,2,36.5,4.983209,52.29383,1
69,525000.0,3,23.0,4.892282,52.384356,3
88,725000.0,4,22.0,4.855145,52.361963,0
48,350000.0,2,24.0,4.884769,52.384121,3
57,275000.0,2,28.5,4.803983,52.355143,2
97,450000.0,4,24.25,4.802374,52.342435,2
47,325000.0,3,15.666666666666666,4.852015,52.364636,0
48,425000.0,2,24.0,4.881348,52.380215,0
44,300000.0,2,22.0,4.859323,52.324179,0
108,330000.0,5,21.6,4.971123,52.297841,1
43,215000.0,2,21.5,4.945155,52.324953,1
88,695000.0,3,29.33333333333333,4.874092,52.367502,0
108,750000.0,3,36.0,4.915967,52.368943,3
79,400000.0,3,26.33333333333333,5.009082,52.351935,1
82,585000.0,3,27.33333333333333,4.872665,52.374093,0
44,395000.0,2,22.0,4.907275,52.358042,3
84,250000.0,3,28.0,4.951827,52.399557,4
103,725000.0,3,34.333333333333336,4.857291,52.370304,0
92,275000.0,4,23.0,4.795583,52.348505,2
107,700000.0,3,35.666666666666664,4.908421,52.364761,3
83,260000.0,4,20.75,4.969802,52.316702,1
83,275000.0,3,27.666666666666668,4.9688878,52.2923239,1
75,535000.0,4,18.75,4.861328,52.372929,0
94,465000.0,4,23.5,4.838028,52.377317,0
62,490000.0,3,20.666666666666668,4.87487,52.363758,0
69,375000.0,4,17.25,4.799561,52.37431,2
58,425000.0,3,19.33333333333333,4.852231,52.361321,0
109,265000.0,5,21.8,4.976731,52.325525,1
58,425000.0,3,19.33333333333333,4.858639,52.369339,0
122,525000.0,5,24.4,4.950277,52.396263,4
77,625000.0,4,19.25,4.846204,52.349933,0
77,380000.0,4,19.25,4.795007,52.375474,2
41,350000.0,2,20.5,4.863282,52.363713,0
70,325000.0,4,17.5,4.830209,52.363691,2
74,550000.0,2,37.0,4.874332,52.369651,0
